ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
219,What is another way to represent 3.14?,B," 3 (14/1,000) ", 3 (14/100) , 3 (1/4) , 3 (14/10) ,Misinterpreted meaning of hundredths.,3.14 = 3 14/100,Used the 1 and 4 as numerator and denominator.,Misinterpreted meaning of hundredths.
220,Which decimal is the same as 9 (7/100) ?,C,0.97,9.007,9.07,9.7,Misinterpreted hundredths with thousandths.,Used 3 decimal place values to represent hundredths.,9 7/100 = 9.07,Misinterpreted hundredths with tenths.
221,Consider this equation: 56 ÷ □ = 8. What real-world scenario could this equation represent?,B,Abbie and Jack divide 56 marbles evenly between themselves. How many marbles does Abbie get?,A cafeteria seats 56 students. Each table seats 8 students. How many tables are in the cafeteria?,A theater has 56 rows of seats. There are 8 seats in each row. How many seats are in the theater?,Mai has a package with 56 cookies. She gives some cookies to Chris. Mai now has 8 cookies. How many cookies does she give to Chris?,Used division by 2.,56÷7=8,Used multiplication.,Used subtraction.
222,What situation can be resolved using the equation n × 7 = 84?,D,Alice has some marbles. Sandy gives her 7 more marbles. Alice now has 84 marbles. How many marbles does Alice begin with?,Sam has 84 stickers. He gives 7 stickers to Katie. How many stickers does Sam have now?,Terry reads 7 books. Each book has 84 pages. How many pages does Terry read?,William has 84 crayons. He gives the same number of crayons to each of 7 friends. How many crayons does William give each friend?,Used addition.,Used subtraction.,Used multiplication.,n x 7 = 84
223,What represents 0.92 rounded to the nearest tenth?,B,0.03,0.9,1,1.1,Rounded from left to right instead of right to left.,Used hundredths place to round to tenths.,Used tenths digit and rounded to ones place.,"Used hundredths digit to round tenths to 10, and added 1 to ones place."
224,"Athletes run different distances in a race. The distances are as follows (in km): Sprint - 94.301, Marathon - 94.252, Relay - 94.246, Ultramarathon - 94.379. Which races have the same distance when the distances are rounded to the nearest tenth of a kilometer?",A,Sprint and Marathon,Sprint and Ultramarathon,Marathon and Relay,Relay and Ultramarathon,Both distances round to 94.3.,Chose the distances that are the same when truncated at the tenths.,Chose the distances that are the same when truncated at the tenths.,Rounded one of the distances incorrectly.
225,Amy needs $95 to fund a project. They receive donations of $5 each week. What does x stand for in the equation 95 ÷ 5 = x?,D,The amount of money Any has already received for the project.,The amount of money Amy needs to fund the project.,The number of weeks Amy has already saved money to fund the project.,The number of weeks Amy needs to save money for the project.,Chose an incorrect statement.,Chose an incorrect statement.,Chose an incorrect statement.,Cost divided by $5 equals the number of weeks to save.
226,What number corresponds to the fraction 1/4?,B,0.2,0.25,0.4,1.4,Made an error in conversion.,1/4 = 0.25,Used the denominator as a decimal.,Used the numerator and denominator as decimal.
227,"A fitness instructor has set aside 90 minutes for a circuit training session. Each exercise in the circuit takes 5 minutes to complete. The instructor used the equation 5 × e = 90 to plan the workout. Based on this equation, which statement is true?",A,"On Friday, 18 exercises can be completed.",Each exercise can be completed in 18 minutes.,There is a total of 18 hours of time for exercise.,"Each day, 18 minutes are used for exercise.","Identified the variable, e, represents the number of exercise that can be completed on Friday.",Inverted number of minutes and number of exercise.,Translated minutes into hours.,Inverted number of minutes and number of exercise and used as total minutes for completion.
228,Bob formulated the mathematical equation 8 × h = 56. Which mathematical equation is not true when the value of h remains constant?,C, 2 × h = 14 , 21 ÷ h = 3 , 28 ÷ 7 = h , 35 = 5 × h ,Chose a correct statement.,Chose a correct statement.,"Calculated 56 ÷ 8 = h, h = 7. Then calculated 28 ÷ 7 = h, h = 4. Determined that since 7 ≠ 4 then this number statement is not true.",Chose a correct statement.
229,What number is equivalent sixty-five and eighty-three thousandths?,B,65.0083,65.083,65.83,"6,583",Correct. Identified that sixty-five and eighty-three thousandths written as a decimal is 65.0083.,Left off a 0 after the decimal place.,Added 65 and 83.,Left out the decimal.
230,Samantha has 15 candies. She formulates the equation 15 ÷ n = 3 before sharing each of her friends some of the candies. What problem is Samantha trying to solve by formulating this equation?,D,How many candies can Samantha give to 15 friends?,How many candies does Samantha give away if she has 3 left?,What is the total number of candies if 3 friends each have 15?,What number of friends will each get 3 candies?,Used division incorrectly.,Used subtraction.,Used multiplication.,"Identified the variable, n, represents the number of friends that will get 3 candies."
231,What real-life scenario could the equation 60 ÷ 5 = c represent?,B,How many books Joshua will have left to read out of 60 books after he finishes reading 5 books?,How many weeks Joshua will take to read for a total of 60 hours when he reads for 5 hours every week?,The total number of books Joshua will read when he starts with 60 books and reads 5 more.,The total number of pages Joshua will read when he reads 60 pages every month for 5 months.,Used subtraction.,Identified the number sentence could represent how many weeks it will take to read a total of 60 hours.,Used addition.,Used multiplication.
232,A factory manufactures 48 appliances each day. How many appliances will it have manufactured after 100 days?,B,480,"4,800","48,000","480,000",Multiplied 48 by 10 rather than by 100.,48 x 100,"Multiplied 48 by 1,000 rather than by 100.","Multiplied 48 by 10,000 rather than by 100."
233,"A crate holds 12 bottles of juice. How many bottles of juice are in 1,000 crates?",C,120,"1,200","12,000","120,000","Miscalculates the place values of 1,000s and 10s, resulting in 2 fewer 0s in the answer.","Miscalculates the place values of 1,000s and 100s, resulting in 1 fewer 0s in the answer.","12 x 1,000","Miscalculates the place values of 1,000s and 10,000s, adding an extra 0 in the answer."
234,The surface area of a microchip is eighty-five thousandths of a square inch. Which number represents eighty-five thousandths in decimal format?,C,0.00085,0.0085,0.085,0.85,Added 2 extra 0s in the tenths and hundredths places.,Added an extra 0 in the tenths place.,Identified eighty-five thousandths written as a decimal is 0.085.,Confused hundredths and thousandths places.
235,Consider this equation: 8 × □ = 96. What real-world scenario could this equation represent?,A,There are 8 blank pages in a binder. There are 96 pages total. How many pages are not blank?,There are 8 buttons on each shirt. There are 96 buttons. How many shirts are there?,There are 8 cartons of eggs. There are 96 eggs. How many eggs are in each carton?,There are 8 players on each team. There are 96 players total. How many teams are there?,Chose a false statement that represents a subtraction number sentence.,Chose a correct statement.,Chose a correct statement.,Chose a correct statement.
236,"A pattern is presented. 84, 77, 70, 63, 56, 49, 42, _. What is the number that fills the last blank spot?",A,35,37,39,41,Each number is 7 less than the preceding number. 42 - 7 = 35,Subtraction fact error. Thinks 37 equals 42 - 7,"Used a number in 30s, selected 39.",Subtracted 1 to get next number.
237,"A dog walker earns money by walking dogs. Dog Walking Earnings: 1 Hour Worked - $6.50, 2 Hours Worked - $13.00, 3 Hours Worked - $19.50, 4 Hours Worked - $26.00, 5 Hours Worked - $32.50. How much would the dog walker earn if they worked 8 hours?",C,$39.00 ,$45.50 ,$52.00 ,$58.50 ,Money earned in 6 hours—would be next entry in table.,Money earned in 7 hours.,"If table continued, this would be the amount earned in 8 hours.",Money earned in 9 hours.
238,Lucas has information about the population in Oregon for the past 100 years. He wants to show how the population levels changed over time. Which display would be best to show this data?,B,Bar graph,Line graph,Tally chart,Venn diagram,Chose a common type of graph.,,Chose a common type of graph.,Chose a common graphic organizer.
239,Which type of information would be best represented in a line graph?,C,Ages of people on a bus,Most popular movies,Temperatures throughout the day,Favorite food of students,"This data should be in a table, bar graph, or circle graph.",This data should be in bar graph.,A line graph would show changes in temperature over time.,This data should be in a circle graph.
240,Chef Gordon is preparing a large batch of pasta sauce and needs to add 135 diced tomatoes. He can dice 3 tomatoes per minute. How many minutes will it take Chef Gordon to dice all the tomatoes?,D,40,41,42,45,Estimated.,Found the number of times 3 went into 13 and into 5,"Found the number of times 3 went into 13 and into 5, and rounded up since there was a remainder.",135/3 = 45
241,A pattern is presented. 512  256  128  64  _  _. What is the number that fills the last blank spot?,C,0,8,16,32,"Subtracted 64 form 128, then 64 from 64.",Chose the term after 16.,64/2 = 32;  32/2 = 16,Chose the term after 64.
242,A pattern is presented. 4  9  12  17  20  25  28  33  36  _. What is the number that fills the last blank spot?,C,37,39,41,44,Chose the next integer.,Added 3 instead of 5.,The pattern is to add 5 then add 3.,Chose the 2nd term after 36.
243,"Samantha was monitoring the height of the rising tide at the beach. She made the following observations: 6:00 a.m. - 6.5ft, 7:00 a.m. - 8.0ft, 8:00 a.m. - 9.5ft, 9:00 a.m. - 11.0ft, 10:00 a.m. - 12.5ft, 11:00 a.m. - 14.0ft, Noon - ?. The tide rose by the same amount each hour. Can you determine the height of the tide at noon based on this pattern?",B,14.5 °F,15.5 °F,16.0 °F,17.0 °F,Added 0.5°F instead of 1.5°F.,The pattern is to add 1.5°F.,Added 2°F.,Skipped a number in the pattern.
244,Samuel read 105 pages of a book over 3 days. She read an equal number of pages each day. How many pages did Samuel read each day?,D,31,32,33,35,"Divided 10 by 3, 5 by 3, and did not consider the remainders.",Incorrect division.,Incorrect division.,105/3 = 35
245,"In a classroom, there were 24 pencils in a pot. Jack used 7 pencils for his project, and Sarah used 3 pencils for her drawing. What equation represents the number of pencils, p, still remaining in the pot?",D, 24 + 7 + 3 = p , 24 + 7 − 3 = p , 24 − 7 + 3 = p , 24 − 7 − 3 = p,Added the number of pencils Jack ate and Sarah used.,Added the number of pencils Jack used.,Added the number of pencils Sarah used.,Subtracted the number of pencils Jack and Sarah used from the total.
246,Sarah's last 7 scores for a piano recital evaluation are listed. 8  10  15  2  9  18  15. What is the median of these scores?,A,10,11,15,16,"{2, 8, 9, 10, 15, 15, 18} Median = 10",Chose the Mean. (8 + 10 + 15 + 2 + 9 + 18 + 15)/7 = 77/7 = 11,Chose the mode.,Chose the range. 18 - 2 = 16
247,"Tom and Lucy visits an amusement park. Amusement Park Prices: Entry - $7.50, Water - $1.75, Snack - $3.25. Each of them buys an entry ticket and a water bottle. They share a snack. What is the total amount of money the group spends?",C,$12.50 ,$18.50 ,$21.75 ,$25.00 ,Added the amounts in the table. 7.50 + 1.75 + 3.25 = 12.50,Did not include the popcorn. 2 * 7.50 + 2 * 1.75 = 15 + 3.5 = 18.50,2 * 7.50 + 2 * 1.75 + 3.25 = 15 + 3.5 + 3.25 = 21.75,Added the amounts in the table and doubled the total. 2 * (7.50 + 1.75 + 3.25) = 2 * 12.50 = 25.00
248,"Billy owns 26 books. The number of bookmarks he has is 2 times as many as the number of books. Which equation represents the number of bookmarks, n, Billy owns?",C, 2 × n = 26 , 26 ÷ n = 2 , 26 × 2 = n , 26 ÷ 2 = n ,Reversed the placement of 26 and n.,Reversed the placement of 26 and n.,Multiplied the number of books (26) times 2 to find the number of bookmarks.,Chose division rather than multiplication.
249,"The production of toy soldiers follows a certain pattern. Number of Toy Soldiers Produced: 10 minutes - 3 soldiers, 20 minutes - 6 soldiers, 30 minutes - 9 soldiers, 40 minutes - 12 soldiers, 60 minutes - ? soldiers. Can you determine the total number of toy soldiers produced in 60 minutes?",C,14,15,18,21,Calculated 12 + 1 = 13; 13 + 1 = 14,Toy soldiers made in 50 minutes.,60/10 = 6; 6 * 3 = 18,Add last 2 values in table. 9 + 12 = 21
250,Jenny ran the 50-meter sprint 5 times. She listed the times in seconds that it took her to complete the sprint. 10  7  8  7  13. What is the range of Jenny's times?,B,3 seconds,6 seconds,8 seconds,9 seconds,Subtracted the first number in the list from the last number in the list. 13 - 10 = 3,13 - 7 = 6,Calculated the median.,Calculated the mean. (10 + 7 + 8 + 7 + 13)/5 = 45/5 = 9
251,"Mrs. Peterson runs a yoga studio with 12 members. Each member pays her $42 to access the classes. She spends $50 on studio maintenance. What equation represents the money, m, Mrs. Peterson has remaining after paying for maintenance?",B, m = 12 × 42 + 50 , m = 12 × 42 − 50 , m = 50 − 12 × 42 , m = 50 × 12 + 42 ,Added 50 to the member fees.,Multiplied number of members (12) times the member fee ($42) then subtracted the money spent.,Subtracted the member fees from 50.,Multiplied 50 by the number of members.
252,Mr. Gomez recorded the number of books read by students in each 5th-grade class. 24  28  25  24  29. What is the mean of the data?,C,24,25,26,29,Chose the mode.,"Chose the median.  {24, 24, 25, 28, 29}",(24 + 28 + 25 + 24 + 29) / 5 = 130/5 = 26,Chose the greatest number.
253,"For 5 consecutive days, Sam monitored the energy consumption of his computer. The readings were 91.2 kWh, 85.4 kWh, 83.7 kWh, 90.3 kWh, and 86.9 kWh. What is the difference between the highest and lowest energy consumption?",C,4.3 kWh,5.8 kWh,7.5 kWh,12.5 kWh,Subtracted the last number in the list from the first number. 91.2 - 86.9 = 4.3,Subtracted the first 2 numbers in the list. 91.2 - 85.4 = 5.8,91.2 - 83.7 = 7.5,Subtracted the lesser digit from the greater digit in each place value column.
254,"Last week, Tom read books for a total of 3 hours. His reading time (in minutes) was as follows: Monday - 20, Tuesday - 25, Wednesday - 30, Thursday - 15, Friday - 25, Saturday - 35. How many minutes did Tom spend reading on Sunday?",A,30 minutes,50 minutes,150 minutes,180 minutes,3 * 60 - (20 + 25 + 30 + 15 + 25 + 35) = 180 - 150 = 30,Calculated (20 + 25 + 30 + 15 + 25 + 35)/3 = 150/3 = 50.,Calculated (20 + 25 + 30 + 15 + 25 + 35) = 150.,Chose the total number of minutes in 3 hours. 60 * 3 = 180
255,"Lucy donated $10 to a charity and she had $27 left in her wallet. Which equation can be used to calculate x, the total amount of money Lucy had before her donation?",B, m + 10 = 27 , m − 10 = 27 , m × 10 = 27 , m ÷ 10 = 27 ,Chose the starting value plus 10.,Chose the starting value minus 10.,Chose the starting value times 10.,Chose the starting value divided by 10.
256,"A chef baked 240 loaves of bread. He can fit 12 loaves in each oven load. What equation can be used to calculate the number of oven loads, t, the chef needs to bake all 240 loaves of bread?",B, 240 − 12 = t , 240 ÷ 12 = t , t ÷ 12 = 240 , t ÷ 240 = 12 ,Subtracted the number of bread carried on one load from the total number of bread.,Divided the total number of bread by the number of bread carried on each load.,Divided the number of loads by the number of bread carried on each load.,Divided the number of loads by the total number of bread.
257,"During a baking competition, Marcus uses 6/10 of a bag of sugar to make a cake. What fraction is equivalent to 6/10?",C, 4/10 , 5/9 , 3/5 , 10/6 ,Calculated 1 - 6/10 = 4/10,Subtracted the same amount from both numerator and denominator to create an equivalent fraction. (6-1)/(10-1) = 5/9,6/10 = 3/5,Chose the reciprocal.
258,"Sara purchased 2 crates with 250 apples in each crate. She gave away 32 apples. Which equation can be used to find n, the number of apples remaining?",B, 250 × 2 + 32 = n , 250 × 2 − 32 = n , n + 250 = 32 × 2 , n − 32 = 250 × 2 ,Added 32.,Multiplied number of apples by 2 crates and subtracted the number of apples used.,Multiplied number of apples used by 2.,Subtracted number of apples used from the number of apples left.
259,"A tutor recorded math test scores for 3 groups. Group 1: Student Emma - Math score 15, Student Noah - Math score 11, Student Liam - Math score 19; Group 2: Student Chloe - Math score 12, Student Jack - Math score 14, Student Emily - Math score 20, Student Ethan - Math score 14, Student Mia - Math score 20; Group 3: Student Oliver - Math score 13, Student Ava - Math score 19, Student Isabella - Math score 14, Student Sophia - Math score 14. Which groups have the same mean score?",B,Groups 1 and 2 only,Groups 1 and 3 only,Groups 2 and 3 only,"Groups 1, 2, and 3",Identified the groups with the same range. ,Groups 1 & 3 have means of 15. G1: (15 + 11 + 19)/3 = 45/3 = 15; G2: (12 + 14 + 20 + 14 + 20)/5 = 80/5 = 16; G3: (13 + 19 + 14 + 14)/4 = 60/4 = 15.,Identified the groups with a common mode.,Miscalculated the mean for group 2.
260,A set of grades is shown. 4  2  2  5  6  6  4  3  2  3  2. What is the median of the grades?,B,2,3,4,6,Chose the mode.,"{2, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6}","Chose the median of the unique values represented in the data. {2, 3, 4, 5, 6}",Chose the middle number of the data set without ordering the data.
261,Tom paid for a $17.55 book using a $20 bill. He got his change back in the fewest bills and coins possible. How many dimes did Tom get in his change?,B,0,2,3,4,Miscalculated the change as $3.55.,"20.00 - 17.55 = 2.45; Change should be 2 $1 bills, 1 quarter, 2 dimes",Found the total number of coins in the change; 1 quarter and 2 dimes.,Used 4 dimes and 1 nickel to make $0.45.
262,"A library acquires 834 new books, which need to be shelved. If each shelf can hold 65 books, with the exception of the last one, how many shelves will be completely filled?",B,11,12,13,54,Subtracted the remainder from the divisor. 65-54,834/65 = 12 r54,"Rounded up, because 54 is close to a full bag.",Chose the remainder.
263,A bartender has 756 milliliters of cocktail mix. Each cocktail glass can hold up to 32 milliliters. The bartender pours the mix into as many glasses as possible. How many milliliters of the cocktail mix are left unused?,C,8 milliliters,12 milliliters,20 milliliters,23 milliliters,Added a 0 in the tenths place to continue dividing and chose the remainder after that division step.,Subtracted the remainder from the divisor. 32 -20 = 12,The remainder will be the amount of liquid left over. 756/32 = 23 R 20,Used the whole number instead of the remainder.
264,"The list shows the swimming speeds, in miles per hour, of several dolphins. 72  68  95  70  80  62  77  68. What is the mean swimming speed of these dolphins?",C,62 miles per hour,71 miles per hour,74 miles per hour,75 miles per hour,Chose the least value.,"Calculated the median. {62, 68, 68, 70, 72, 77, 80, 95}; (70 + 72)/2 = 71",(72 + 68 + 95 + 70 + 80 + 62 + 77 + 68)/8 = 592/8 =74,Calculated the mean using the 2 middle unordered numbers in the list. (70 + 80)/2 = 75
265,"The list shows the lengths, in minutes, of 9 documentary films. 28  21  14  33  14  30  28. 21  18. What is the mean length of the films?",C,19 minutes,21 minutes,23 minutes,24 minutes,Chose the range. 33 - 14 = 19,"Chose the median {14, 14, 18, 21, 21, 28, 28, 30, 33}",(28 + 21 + 14 + 33 + 14 + 30 + 28 + 21 + 18)/9 = 207/9 = 23,Included repeated values only once and divided by 6. (28 + 21 + 14 + 33 + 30 + 18)/6 = 144/6 = 24
266,Add 42.35 + 8.2. ,D,40.55,43.17,50.37,50.55,Did not regroup to the tens place.,Added with right alignment and used the decimal location from 42.35.,Added the whole numbers and decimal numbers separately. 42+8 = 50; 0.35 + 0.02 = 0.37,42.35 + 8.2 = 50.55
267,"Every time Sarah runs on the treadmill, she runs for 35 minutes. Last month, she recorded a total running time of 280 minutes. How many days did Sarah use the treadmill last month?",C,4 days,7 days,8 days,20 days,Divided mentally by 70 instead of 35 but did not double the quotient to compensate.,Estimated using 40 as the compatible divisor.,280/35 = 8,Chose the approximate number of school days in a month.
268,James equally divides 16 gallons of lemonade into 5 large cups. How many gallons of lemonade does James pour into each cups?,B, 3 (1/16) gallons, 3 (1/5) gallons, 3 (5/16) gallons, 3 (1/3) gallons,Used the dividend as denominator.,16/5 = 3 (1/5),Used divisor and dividend as fraction.,Used whole number from quotient as the denominator.
269,"In her baking recipe, Lisa uses 4 (3/8) cups of wheat flour and 2 (1/4) cups of white flour. How many cups of flour does Lisa use for her recipe?",D, 6 (1/8)  cups, 6 (1/3)  cups, 6 (1/2)  cups, 6 (5/8)  cups,Added the whole numbers and subtracted the fractions.,Added the whole numbers and added the numerators and denominations. 4 + 2 + (3 + 1)/(8 + 4) = 6 4/12 = 6 1/3,Added the whole numbers and added the numerator using the largest denominator. 4 + 2 + (3 + 1)/(8) = 6 4/8 = 6 1/2,4 3/8 + 2 1/4 = 4 3/8 + 2 2/8 = 6 5/8
270,"A pattern is presented. 3, 4, 6, 9, 10, 12, 15, 16, 18, 21, 22, _. What is the number to fill in the blank?",B,23,24,25,33,Added 1.,22 + 2,Added 3.,"Added 1 more each time. (+1, + 2, + 3, + 4 . . . .) ; 22 + 11"
271,A gardener removes 3 flowers and then plants 7 new ones to create a floral arrangement. Which flower arrangement follows the gardener's rule?,D,13  16  9  12  5  8  1,39  36  29  26  19  16  9,44  47  54  57  64  67  74,52  49  56  53  60  57  64,Added 3 and then subtracted 7.,Subtracted 3 and then subtracted 7.,Added 3 and then added 7.,Subtracted 3 and then added 7: 52 - 3 = 49; 49 + 7 = 56; 56 - 3 = 53; 53 + 7 = 60; 60 - 3 = 57; 57 + 7 = 64.
272,"A gardener is cultivating 4 types of flowers. Flowers Planted: Type A - Depth Planted (inches) 5/8, Type B - Depth Planted (inches) 6/8, Type C - Depth Planted (inches) 3/8, VarTypeiety D - Depth Planted (inches) 4/8. Which variety of flower did the gardener plant at the greatest depth?",B,A,B,C,D,Chose the first value in the table.,6/8 > 5/8 > 4/8 > 3/8,Chose the fraction with the greatest difference between the numerator and the denominator.,Chose the last value in the table.
273,"The number of pages that Alex reads in his book each week follows a certain pattern. Pages Read: Week 1 - 15, Week 2 - 27, Week 3 - 39, Week 4 - 51, Week 5 - 63, Week 7 - ? Can you determine how many pages Alex has read by the end of week 7?",B,75,87,93,99,Calculated 63 + 12 = 75.,63 + 12 + 12 = 87,Added the number of books from week 1 twice. 63 + 15 + 15 = 93,Found the total number of books for week 8. 63 + 12 + 12 + 12 = 99
274,Which mathematical formula is not the same as 2 × 6 + 9 × 7?,B, 2 × 6 + 7 × 9 , 2 × 9 + 6 × 7 , 7 × 9 + 6 × 2 , 9 × 7 + 2 × 6 ,Used the commutative property of multiplication.,Did not apply the commutative property of multiplication correctly. 2 * 6 + 9 * 7 = 75; 2 * 9 + 6 * 7 = 60,Used the commutative properties of addition and multiplication.,Used the commutative property of addition.
275,Calculate 30 ÷ 5 − 5.,B,0,1,29,30,Subtracted before dividing and misidentified the quotient of 30/0 as 0.,6 - 5 = 1,Calculated 30 - 1 = 29.,"Did not consider the division sign and decided the 5's result in 0, leaving the 30 by itself."
276,A student wants to round the number 54.6758 in an exam. To which place value should the student round to ensure that the digit 6 shows up twice?,D,Hundredths,Tens,Tenths,Thousandths,Rounded incorrectly.,Rounded incorrectly.,Rounded incorrectly.,Recognized the 8 in the ten-thousandth place will round the 5 to a 6 in the thousandth place.
277,"For the inequality 4 × 7 < n + 3, which value of n will make the inequality correct?",D,8,10,18,30,Used (4 - 3) * 7 < n.,Used 4 * 7< n * 3.,Used 4 * (7 - 3)< n.,4 * 7 - 3 < n.
278,"For the equation 5x − 6 = 3x + 2, will x = 2 make the equation correct?",B,"No, one side of the equation has a value of 2 and the other side of the equation has a value of 10.","No, one side of the equation has a value of 4 and the other side of the equation has a value of 8.","Yes, both sides of the equation have a value of 10.","Yes, both sides of the equation have a  y .",Combined the terms before multiplying by 2 and disregarded the negative sign on the left side of the equal sign. (5 - 6) * x = (3 + 2) * x; -(2) ≠ 5(2),5(2) - 6 = 10 - 6 = 4; 3(2) + 2 = 6 + 2 = 8,Dropped the 6 on the left side and incorrectly added the 3 and 2 on the right side before multiplying by the value of x.,"Recognized that an equation should be balanced,but disregarded the other values in the equation."
279,The height of a tree is 13.142 feet. The height of a house is 0.1 foot shorter than the height of the tree. What is the height of the house?,A,13.042 feet,13.132 feet,13.141 feet,13.242 feet,13.142 - 0.1 = 13.042,Subtracted 0.01 instead of 0.1.,Subtracted 0.001 instead of 0.1.,Added 0.1 instead of subtracted.
280,"On Sunday, a bird flew 50 yards in 7.572 seconds. By Monday, the bird had improved and reduced its flight time for the same distance by 0.01 second. What was the bird's flight time on Monday?",C,6.572 seconds,7.472 seconds,7.562 seconds,7.571 seconds,Subtracted 1 instead of 0.01.,Subtracted 0.1 instead of 0.01.,7.572 - 0.01 = 7.562,Subtracted 0.001 instead of 0.01.
281,What is the value of 9.76235 rounded to the nearest thousandth?,B,9.76,9.762,9.7624,9.8,Rounded to nearest hundredth.,Identified the 3 in the ten-thousandth place does not change the 2 in the thousandth place.,Rounded to nearest ten-thousandth.,Rounded to nearest tenth.
282,Sum of 0.01 and 5.815,B,5.816,5.825,5.915,6.815,Added by right-aligning the numbers.,5.815 + 0.01 = 5.825,Added 0.1.,Added 1.
283,"For m = 5, which inequality is not true?",D, 1/m < 1 , m ÷ 2 < 8 , 2m + 22 > 25 , 3m > 15 ,Chose an inequality that is true for m = 5.,Chose an inequality that is true for m = 5.,Chose an inequality that is true for m = 5.,3 * 5 = 15
284,"In a garden, 6 flowers are blooming. Among them, 2 are roses. What fraction of the flowers are roses?",B, 2/8 , 2/6 , 4/6 , 6/2 ,Chose a denominator equivalent to 6 + 2 = 8.,2 roses out of 6 total flowers. (2/6),Chose a numerator equivalent to 6 - 2 = 4.,Chose the reciprocal of the correct answer.
285,"In a marathon training group, five runners - Olivia, Harry, Amelia, Jack, and Liam - each completed a certain distance. Olivia ran 1/2 of her distance. Harry ran 2/3 of his distance. Amelia ran 2/4 of her distance. Jack ran 1/6 of his distance. Liam ran 1/8 of his distance. Which runner ran a larger fraction of their distance than Olivia?",A,Harry,Amelia,Jack,Liam,"Identified the common denominator and then chose fraction with numerator greater than 12. (12/24, 16/24, 12/24, 4/24, 3/24)",Chose an equivalent fraction.,Chose a fraction with a greater denominator.,Chose a fraction with a greater denominator.
286,"John was crafting a custom frame for a painting. The painting was exactly 47 (3/4) inches wide. To ensure the painting would fit inside, he made the frame 1/4 inch shorter on both sides. How long was the frame that he crafted?",A, 47 (1/4)  inches, 47 (1/2)  inches, 48  inches, 48 (1/4)  inches,47 3/4 - 2*(1/4) = 47 1/4,Only subtracts one 1/4 end.,Calculated 47 3/4 + 1/4 = 48,Calculated 47 3/4 + 2*(1/4) = 48 1/4
287,Subtract 7/8 - 1/3.,B, 1/4 , 13/24 , 1 (1/5) , 1 (5/24) ,Calculated (7 - 1)/(8 * 3) = 6/24 = 1/4.,7/8 - 1/3 = 21/24 - 8/24 = 13/24,Calculated (7 - 1)/(8 - 3) = 6/5.,Calculated 7/8 + 1/3 = 21/24 + 8/24 = 29/24.
288,John drank 2/3 of a bottle of soda. Megan drank 4/8 of a bottle of the same soda. How much soda did they drink in total?,D, 1/4 of soda, 6/11 of soda, 1 (1/24) of soda, 1 (1/6) of soda,Calculated (2 + 4)/(3 * 8) = 6/24 = 1/4.,Calculated (2 + 4)/(3 + 8) = 6/ 11.,Used 1 over common denominator of 24.,2/3 + 4/8 = 4/6 + 3/6 = 7/6
289,"John hires a cleaning service that charges a flat fee of $50 and an additional $20 for each room. If John's house has 35 rooms and he has a discount voucher of $100, how much does John have to pay the cleaning service?",A,$650 ,$750 ,"$1,670 ","$2,350 ",50 + 20 * 35 - 100 = 700 - 50 = 650,Did not subtract the $100 off coupon.,Calculated 35 * 50 + 20 - 100 = 1750 - 80 = 1670.,Calculated 35 * (20 + 50) - 100 = 35 * 70 - 100 = 2450 - 100 = 2350.
290,A gardener recorded the number of flowers bloomed each day: 75  90  81  85  51  84  81  84  81  84  85. What is the range of the flower counts?,C,10,11,39,90,Calculated 85 - 75 = 10.,Counted the number of items in the list.,90 - 51 = 39,Chose the greatest number in the list.
291,"Sam needs 1 (2/3) gallons of paint to decorate a wall, 3 (1/2) gallons of paint to renovate a room, and 1/2 gallon of paint to touch up a door. How many gallons of paint does Sam need in total?",D, 4 (4/7) yards, 4 (2/3) yards, 5 (1/6) yards, 5 (2/3) yards,Calculated 1 + 3 + (2 + 1 + 1)/(3 + 2 + 2) = 4 4/7.,Did not carry the 1 from (1/2 + 1/2).,Calculated 1 + 3 + (1/2 + 1/2) + 2/3 * (1/2) * (1/2) = 5 2/12 = 5 1/6.,1 + 3 + (1/2 + 1/2) + 2/3 = 5 2/3
292,Which expression has the value of 3?,B, 2 + 4 × 2 , (2 + 4) ÷ 2 , 2 × 4 ÷ 2 , (2 ÷ 4) × 2 ,Calculated 2 + 4 * 2 = 2 + 8 = 10.,(2 + 4)/2 = 6/2 = 3,Calculated 2 * 4/2 = 8/2 = 4.,Calculated (2/4) * 2 = 0.5 * 2 = 1.
293,"Tom draws a triangule with a 4-inch base and a 5-inch height. If he increases both the base and height of the garden by 1 feet, how much will the triangle's area increase?",B,2 square inches,5 square inches,10 square inches,15 square inches,Calculated (4 + 1) + (5 + 1) - (4 + 5) = 5 + 6 - 9 = 11 - 9 = 2.,1/2(4 + 1) * (5 + 1) - 1/2 * 4 * 5 = 15 - 10 = 5,Used area formula for rectangle. (4 + 1) * (5 + 1) - 4 * 5 = 30 - 20 = 10,Used the area of new triangle only. 1/2 * (4 + 1) * (5 + 1) = 1/2 * 5 * 6 = 15
